Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,1000,2,1,-39.00000000000002,50,44,1595,4,3,0.3,1
uct,1000,2,2,-30.800000000000015,50,35,1624,4,3,0.3,1
uct,1000,2,3,-39.70000000000002,50,43,1593,4,3,0.3,1
uct,1000,2,4,-49.50000000000002,50,37,1537,4,3,0.3,1
uct,1000,2,5,-37.100000000000016,50,32,1562,4,3,0.3,1
uct,1000,2,6,-28.1,50,44,1635,4,3,0.3,1
uct,1000,2,7,-43.20000000000002,50,33,1584,4,3,0.3,1
uct,1000,2,8,-35.40000000000001,50,33,1601,4,3,0.3,1
uct,1000,2,9,-37.70000000000001,50,36,1584,4,3,0.3,1
uct,1000,2,10,-32.40000000000001,50,36,1508,4,3,0.3,1
uct,1000,2,1,-35.80000000000001,50,291,12299,4,4,0.3,1
uct,1000,2,2,-40.400000000000006,50,388,12659,4,4,0.3,1
uct,1000,2,3,-34.000000000000014,50,273,12679,4,4,0.3,1
uct,1000,2,4,-39.000000000000014,50,277,12104,4,4,0.3,1
uct,1000,2,5,-38.10000000000001,50,282,12535,4,4,0.3,1
uct,1000,2,6,-46.600000000000016,50,273,13275,4,4,0.3,1
uct,1000,2,7,-35.90000000000001,50,259,11426,4,4,0.3,1
uct,1000,2,8,-38.30000000000001,50,249,11149,4,4,0.3,1
uct,1000,2,9,-39.699999999999996,50,249,10768,4,4,0.3,1
uct,1000,2,10,-34.40000000000001,50,260,11776,4,4,0.3,1
uct,1500,2,1,-10.0,50,7,213,1,1,0.3,1
uct,1500,2,2,-10.0,50,8,240,1,1,0.3,1
uct,1500,2,3,-10.0,50,8,210,1,1,0.3,1
uct,1500,2,4,-10.0,50,7,242,1,1,0.3,1
uct,1500,2,5,-10.0,50,6,213,1,1,0.3,1
uct,1500,2,6,-10.0,50,7,213,1,1,0.3,1
uct,1500,2,7,-10.0,50,7,238,1,1,0.3,1
uct,1500,2,8,-10.0,50,9,259,1,1,0.3,1
uct,1500,2,9,-10.0,50,6,208,1,1,0.3,1
uct,1500,2,10,-10.0,50,6,212,1,1,0.3,1
