Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,250,2,6,-8,50,2,33,1,1,0.3,1
uct,250,2,7,-8,50,1,31,1,1,0.3,1
uct,250,2,8,-8,50,2,38,1,1,0.3,1
uct,250,2,9,-8,50,1,35,1,1,0.3,1
uct,250,2,10,-8,50,2,36,1,1,0.3,1
uct,250,2,1,-23.9,50,1,62,2,1,0.3,1
uct,250,2,2,-23.6,50,2,75,2,1,0.3,1
uct,250,2,3,-22.6,50,2,88,2,1,0.3,1
uct,250,2,4,-23.6,50,2,247,2,1,0.3,1
uct,250,2,5,-26.8,50,2,104,2,1,0.3,1
uct,250,2,6,-25.8,50,2,88,2,1,0.3,1
uct,250,2,7,-26,50,2,67,2,1,0.3,1
uct,250,2,8,-25.9,50,2,70,2,1,0.3,1
uct,250,2,9,-23.6,50,2,64,2,1,0.3,1
uct,250,2,10,-26.8,50,1,61,2,1,0.3,1
uct,250,2,1,-15.4,50,2,73,2,2,0.3,1
uct,250,2,2,-15.6,50,2,75,2,2,0.3,1
uct,250,2,3,-16.6,50,2,71,2,2,0.3,1
uct,250,2,4,-20,50,1,90,2,2,0.3,1
uct,250,2,5,-19.3,50,2,85,2,2,0.3,1
uct,250,2,6,-16,50,2,82,2,2,0.3,1
uct,250,2,7,-18,50,1,70,2,2,0.3,1
uct,250,2,8,-17.3,50,3,76,2,2,0.3,1
uct,250,2,9,-17.4,50,2,80,2,2,0.3,1
uct,250,2,10,-20.1,50,2,81,2,2,0.3,1
uct,250,2,1,-41.4,50,2,66,3,1,0.3,1
uct,250,2,2,-33.3,50,2,76,3,1,0.3,1
uct,250,2,3,-41.4,50,2,73,3,1,0.3,1
uct,250,2,4,-29.9,50,2,65,3,1,0.3,1
uct,250,2,5,-38.1,50,1,70,3,1,0.3,1
uct,250,2,6,-35.9,50,2,75,3,1,0.3,1
uct,250,2,7,-43.1,50,2,75,3,1,0.3,1
uct,250,2,8,-38.1,50,2,70,3,1,0.3,1
uct,250,2,9,-37,50,2,77,3,1,0.3,1
uct,250,2,10,-34,50,1,68,3,1,0.3,1
uct,250,2,1,-34.3,50,3,112,3,2,0.3,1
uct,250,2,2,-44.5,50,3,97,3,2,0.3,1
uct,250,2,3,-30.6,50,2,112,3,2,0.3,1
uct,250,2,4,-34.6,50,3,109,3,2,0.3,1
uct,250,2,5,-34,50,3,113,3,2,0.3,1
uct,250,2,6,-39.1,50,3,120,3,2,0.3,1
uct,250,2,7,-33.2,50,3,137,3,2,0.3,1
uct,250,2,8,-26.2,50,3,225,3,2,0.3,1
uct,250,2,9,-35.4,50,3,162,3,2,0.3,1
uct,250,2,10,-33.8,50,3,115,3,2,0.3,1
uct,250,2,1,-35.6,50,5,304,3,3,0.3,1
uct,250,2,2,-34.9,50,6,299,3,3,0.3,1
uct,250,2,3,-38.8,50,6,306,3,3,0.3,1
uct,250,2,4,-30.1,50,5,308,3,3,0.3,1
uct,250,2,5,-31.5,50,8,295,3,3,0.3,1
uct,250,2,6,-31.5,50,6,277,3,3,0.3,1
uct,250,2,7,-37.4,50,8,336,3,3,0.3,1
uct,250,2,8,-30.8,50,8,345,3,3,0.3,1
uct,250,2,9,-34.1,50,8,309,3,3,0.3,1
uct,250,2,10,-32.2,50,7,299,3,3,0.3,1
uct,250,2,1,-51.5,50,2,83,4,1,0.3,1
uct,250,2,2,-45.8,50,2,83,4,1,0.3,1
uct,250,2,3,-56.6,50,3,83,4,1,0.3,1
uct,250,2,4,-60.4,50,2,95,4,1,0.3,1
uct,250,2,5,-60.3,50,3,99,4,1,0.3,1
uct,250,2,6,-47.3,50,3,87,4,1,0.3,1
uct,250,2,7,-49.3,50,2,85,4,1,0.3,1
uct,250,2,8,-52.1,50,2,82,4,1,0.3,1
uct,250,2,9,-51.4,50,2,83,4,1,0.3,1
uct,250,2,10,-60.4,50,2,73,4,1,0.3,1
uct,250,2,1,-40.9,50,4,178,4,2,0.3,1
uct,250,2,2,-37.7,50,3,147,4,2,0.3,1
uct,250,2,3,-47.5,50,3,137,4,2,0.3,1
uct,250,2,4,-37.1,50,3,159,4,2,0.3,1
uct,250,2,5,-32.9,50,4,140,4,2,0.3,1
uct,250,2,6,-33.1,50,5,168,4,2,0.3,1
uct,250,2,7,-42.4,50,6,187,4,2,0.3,1
uct,250,2,8,-40.9,50,4,141,4,2,0.3,1
uct,250,2,9,-43,50,5,166,4,2,0.3,1
uct,250,2,10,-46.9,50,4,170,4,2,0.3,1
uct,250,2,1,-42.6,50,14,637,4,3,0.3,1
uct,250,2,2,-42.6,50,15,684,4,3,0.3,1
uct,250,2,3,-47.7,50,14,706,4,3,0.3,1
uct,250,2,4,-56,50,17,678,4,3,0.3,1
uct,250,2,5,-34.1,50,11,667,4,3,0.3,1
uct,250,2,6,-41.3,50,14,670,4,3,0.3,1
uct,250,2,7,-48.2,50,13,643,4,3,0.3,1
uct,250,2,8,-41.6,50,14,652,4,3,0.3,1
uct,250,2,9,-43.5,50,13,648,4,3,0.3,1
uct,250,2,10,-43.5,50,13,655,4,3,0.3,1
uct,250,2,1,-32.4,50,99,4145,4,4,0.3,1
uct,250,2,2,-33.7,50,114,4184,4,4,0.3,1
uct,250,2,3,-30.2,50,118,4284,4,4,0.3,1
uct,250,2,4,-25.7,50,94,4567,4,4,0.3,1
uct,250,2,5,-28.3,50,103,4091,4,4,0.3,1
uct,250,2,6,-25.2,50,112,3942,4,4,0.3,1
uct,250,2,7,-35.5,50,104,4733,4,4,0.3,1
uct,250,2,8,-39.8,50,93,4625,4,4,0.3,1
uct,250,2,9,-29.1,50,95,4285,4,4,0.3,1
uct,250,2,10,-35.9,50,89,4442,4,4,0.3,1
uct,450,2,1,-8,50,3,66,1,1,0.3,1
uct,450,2,2,-8,50,2,67,1,1,0.3,1
uct,450,2,3,-8,50,3,68,1,1,0.3,1
uct,450,2,4,-8,50,2,76,1,1,0.3,1
uct,450,2,5,-8,50,2,77,1,1,0.3,1
uct,450,2,6,-8,50,3,80,1,1,0.3,1
uct,450,2,7,-8,50,2,87,1,1,0.3,1
uct,450,2,8,-8,50,3,67,1,1,0.3,1
uct,450,2,9,-8,50,3,65,1,1,0.3,1
uct,450,2,10,-8,50,2,64,1,1,0.3,1
uct,450,2,1,-22.9,50,3,103,2,1,0.3,1
uct,450,2,2,-25.8,50,3,92,2,1,0.3,1
uct,450,2,3,-25.8,50,3,103,2,1,0.3,1
uct,450,2,4,-19.9,50,3,198,2,1,0.3,1
uct,450,2,5,-16.5,50,5,145,2,1,0.3,1
uct,450,2,6,-25.8,50,3,112,2,1,0.3,1
uct,450,2,7,-25.8,50,3,103,2,1,0.3,1
uct,450,2,8,-26.9,50,2,106,2,1,0.3,1
uct,450,2,9,-25.8,50,3,104,2,1,0.3,1
uct,450,2,10,-26.9,50,2,97,2,1,0.3,1
uct,450,2,1,-16.6,50,2,128,2,2,0.3,1
uct,450,2,2,-16.2,50,4,116,2,2,0.3,1
uct,450,2,3,-15.8,50,2,105,2,2,0.3,1
uct,450,2,4,-14.4,50,3,94,2,2,0.3,1
uct,450,2,5,-16.8,50,4,129,2,2,0.3,1
uct,450,2,6,-16.2,50,3,130,2,2,0.3,1
uct,450,2,7,-12.6,50,4,104,2,2,0.3,1
uct,450,2,8,-12.8,50,3,105,2,2,0.3,1
uct,450,2,9,-16.7,50,4,117,2,2,0.3,1
uct,450,2,10,-17.8,50,4,131,2,2,0.3,1
uct,450,2,1,-50.4,50,3,121,3,1,0.3,1
uct,450,2,2,-47.4,50,3,131,3,1,0.3,1
uct,450,2,3,-46.4,50,3,117,3,1,0.3,1
uct,450,2,4,-47.2,50,3,118,3,1,0.3,1
uct,450,2,5,-43.3,50,3,116,3,1,0.3,1
uct,450,2,6,-46.4,50,3,116,3,1,0.3,1
uct,450,2,7,-47.2,50,4,123,3,1,0.3,1
uct,450,2,8,-46.4,50,3,119,3,1,0.3,1
uct,450,2,9,-49.3,50,2,147,3,1,0.3,1
uct,450,2,10,-39.2,50,3,116,3,1,0.3,1
uct,450,2,1,-34.9,50,4,172,3,2,0.3,1
uct,450,2,2,-26.2,50,4,178,3,2,0.3,1
uct,450,2,3,-27.9,50,5,168,3,2,0.3,1
uct,450,2,4,-29.8,50,3,181,3,2,0.3,1
uct,450,2,5,-34,50,4,174,3,2,0.3,1
uct,450,2,6,-30.3,50,4,187,3,2,0.3,1
uct,450,2,7,-36.2,50,3,185,3,2,0.3,1
uct,450,2,8,-32.9,50,5,210,3,2,0.3,1
uct,450,2,9,-32.3,50,5,203,3,2,0.3,1
uct,450,2,10,-33.3,50,5,187,3,2,0.3,1
uct,450,2,1,-19.3,50,10,391,3,3,0.3,1
uct,450,2,2,-30.9,50,9,441,3,3,0.3,1
uct,450,2,3,-31.9,50,10,445,3,3,0.3,1
uct,450,2,4,-26.9,50,11,379,3,3,0.3,1
uct,450,2,5,-35.4,50,9,391,3,3,0.3,1
uct,450,2,6,-26.1,50,10,392,3,3,0.3,1
uct,450,2,7,-26.7,50,10,389,3,3,0.3,1
uct,450,2,8,-19,50,8,366,3,3,0.3,1
uct,450,2,9,-31.4,50,10,415,3,3,0.3,1
uct,450,2,10,-34,50,9,430,3,3,0.3,1
uct,450,2,1,-55.2,50,3,130,4,1,0.3,1
uct,450,2,2,-40.4,50,4,141,4,1,0.3,1
uct,450,2,3,-65.5,50,4,126,4,1,0.3,1
uct,450,2,4,-68.4,50,4,146,4,1,0.3,1
uct,450,2,5,-54.4,50,3,136,4,1,0.3,1
uct,450,2,6,-55.3,50,4,136,4,1,0.3,1
uct,450,2,7,-60.7,50,4,172,4,1,0.3,1
uct,450,2,8,-49.3,50,3,158,4,1,0.3,1
uct,450,2,9,-59.3,50,4,131,4,1,0.3,1
uct,450,2,10,-54.6,50,3,139,4,1,0.3,1
uct,450,2,1,-29.9,50,5,212,4,2,0.3,1
uct,450,2,2,-43.3,50,6,225,4,2,0.3,1
uct,450,2,3,-43.6,50,7,272,4,2,0.3,1
uct,450,2,4,-39,50,7,242,4,2,0.3,1
uct,450,2,5,-38.7,50,5,250,4,2,0.3,1
uct,450,2,6,-33.6,50,5,256,4,2,0.3,1
uct,450,2,7,-38.4,50,5,248,4,2,0.3,1
uct,450,2,8,-41.9,50,6,234,4,2,0.3,1
uct,450,2,9,-47.6,50,6,247,4,2,0.3,1
uct,450,2,10,-48.2,50,5,240,4,2,0.3,1
uct,450,2,1,-30.1,50,20,944,4,3,0.3,1
uct,450,2,2,-35.3,50,20,981,4,3,0.3,1
uct,450,2,3,-42.6,50,22,1017,4,3,0.3,1
uct,450,2,4,-26.4,50,23,844,4,3,0.3,1
uct,450,2,5,-39.5,50,20,976,4,3,0.3,1
uct,450,2,6,-41.1,50,21,961,4,3,0.3,1
uct,450,2,7,-45.9,50,22,969,4,3,0.3,1
uct,450,2,8,-40.4,50,19,937,4,3,0.3,1
uct,450,2,9,-37.7,50,23,1038,4,3,0.3,1
uct,450,2,10,-46.4,50,21,966,4,3,0.3,1
uct,450,2,1,-33.8,50,152,6826,4,4,0.3,1
uct,450,2,2,-42.7,50,166,7271,4,4,0.3,1
uct,450,2,3,-32.1,50,197,6619,4,4,0.3,1
uct,450,2,4,-28.4,50,136,6153,4,4,0.3,1
uct,450,2,5,-34.2,50,155,6271,4,4,0.3,1
uct,450,2,6,-33.8,50,144,6719,4,4,0.3,1
uct,450,2,7,-33.3,50,157,6788,4,4,0.3,1
uct,450,2,8,-43.6,50,140,6738,4,4,0.3,1
uct,450,2,9,-35,50,140,5924,4,4,0.3,1
uct,450,2,10,-45.4,50,130,6607,4,4,0.3,1
