Algorithm name,# Iterations,Horizon,Instance,Accumulated reward ,# rollouts,Planning runtime,total runtime,# Sensors,# Robots,p ,B (Max New Faults)
uct,50,2,3,-45.00000000000003,50,3,192,4,3,0.3,1
uct,50,2,4,-38.600000000000016,50,5,182,4,3,0.3,1
uct,50,2,5,-37.70000000000002,50,4,216,4,3,0.3,1
uct,50,2,6,-27.40000000000001,50,5,190,4,3,0.3,1
uct,50,2,7,-36.90000000000002,50,4,182,4,3,0.3,1
uct,50,2,8,-44.20000000000003,50,4,209,4,3,0.3,1
uct,50,2,9,-38.80000000000002,50,4,221,4,3,0.3,1
uct,50,2,10,-31.70000000000001,50,4,202,4,3,0.3,1
uct,50,2,1,-45.200000000000024,50,31,1054,4,4,0.3,1
uct,50,2,2,-33.70000000000002,50,23,975,4,4,0.3,1
uct,50,2,3,-36.10000000000001,50,31,1044,4,4,0.3,1
uct,50,2,4,-31.500000000000007,50,19,965,4,4,0.3,1
uct,50,2,5,-42.90000000000002,50,24,1000,4,4,0.3,1
uct,50,2,6,-34.90000000000001,50,44,935,4,4,0.3,1
uct,50,2,7,-31.100000000000005,50,24,950,4,4,0.3,1
uct,50,2,8,-27.499999999999996,50,17,899,4,4,0.3,1
uct,50,2,9,-38.700000000000024,50,25,914,4,4,0.3,1
uct,50,2,10,-37.70000000000002,50,20,981,4,4,0.3,1
uct,250,2,1,-8.0,50,1,41,1,1,0.3,1
uct,250,2,2,-8.0,50,1,39,1,1,0.3,1
uct,250,2,3,-8.0,50,1,35,1,1,0.3,1
uct,250,2,4,-8.0,50,2,35,1,1,0.3,1
uct,250,2,5,-8.0,50,2,38,1,1,0.3,1
uct,250,2,6,-8.0,50,2,33,1,1,0.3,1
uct,250,2,7,-8.0,50,1,31,1,1,0.3,1
uct,250,2,8,-8.0,50,2,38,1,1,0.3,1
uct,250,2,9,-8.0,50,1,35,1,1,0.3,1
uct,250,2,10,-8.0,50,2,36,1,1,0.3,1
uct,250,2,1,-23.900000000000006,50,1,62,2,1,0.3,1
uct,250,2,2,-23.600000000000005,50,2,75,2,1,0.3,1
uct,250,2,3,-22.600000000000005,50,2,88,2,1,0.3,1
uct,250,2,4,-23.600000000000005,50,2,247,2,1,0.3,1
uct,250,2,5,-26.800000000000008,50,2,104,2,1,0.3,1
uct,250,2,6,-25.800000000000008,50,2,88,2,1,0.3,1
uct,250,2,7,-26.00000000000001,50,2,67,2,1,0.3,1
uct,250,2,8,-25.90000000000001,50,2,70,2,1,0.3,1
uct,250,2,9,-23.600000000000005,50,2,64,2,1,0.3,1
uct,250,2,10,-26.800000000000008,50,1,61,2,1,0.3,1
uct,250,2,1,-15.399999999999999,50,2,73,2,2,0.3,1
uct,250,2,2,-15.6,50,2,75,2,2,0.3,1
uct,250,2,3,-16.599999999999998,50,2,71,2,2,0.3,1
uct,250,2,4,-20.0,50,1,90,2,2,0.3,1
uct,250,2,5,-19.299999999999997,50,2,85,2,2,0.3,1
uct,250,2,6,-15.999999999999996,50,2,82,2,2,0.3,1
uct,250,2,7,-17.999999999999996,50,1,70,2,2,0.3,1
uct,250,2,8,-17.299999999999997,50,3,76,2,2,0.3,1
uct,250,2,9,-17.4,50,2,80,2,2,0.3,1
uct,250,2,10,-20.1,50,2,81,2,2,0.3,1
uct,250,2,1,-41.40000000000002,50,2,66,3,1,0.3,1
uct,250,2,2,-33.30000000000002,50,2,76,3,1,0.3,1
uct,250,2,3,-41.40000000000002,50,2,73,3,1,0.3,1
uct,250,2,4,-29.900000000000016,50,2,65,3,1,0.3,1
uct,250,2,5,-38.10000000000001,50,1,70,3,1,0.3,1
uct,250,2,6,-35.90000000000001,50,2,75,3,1,0.3,1
uct,250,2,7,-43.10000000000001,50,2,75,3,1,0.3,1
uct,250,2,8,-38.100000000000016,50,2,70,3,1,0.3,1
uct,250,2,9,-37.00000000000001,50,2,77,3,1,0.3,1
uct,250,2,10,-34.00000000000001,50,1,68,3,1,0.3,1
uct,250,2,1,-34.30000000000001,50,3,112,3,2,0.3,1
uct,250,2,2,-44.50000000000003,50,3,97,3,2,0.3,1
uct,250,2,3,-30.60000000000001,50,2,112,3,2,0.3,1
uct,250,2,4,-34.600000000000016,50,3,109,3,2,0.3,1
uct,250,2,5,-34.000000000000014,50,3,113,3,2,0.3,1
uct,250,2,6,-39.100000000000016,50,3,120,3,2,0.3,1
uct,250,2,7,-33.20000000000002,50,3,137,3,2,0.3,1
uct,250,2,8,-26.200000000000006,50,3,225,3,2,0.3,1
uct,250,2,9,-35.40000000000002,50,3,162,3,2,0.3,1
uct,250,2,10,-33.80000000000001,50,3,115,3,2,0.3,1
uct,250,2,1,-35.60000000000002,50,5,304,3,3,0.3,1
uct,250,2,2,-34.900000000000006,50,6,299,3,3,0.3,1
uct,250,2,3,-38.80000000000002,50,6,306,3,3,0.3,1
uct,250,2,4,-30.10000000000001,50,5,308,3,3,0.3,1
uct,250,2,5,-31.500000000000018,50,8,295,3,3,0.3,1
uct,250,2,6,-31.500000000000007,50,6,277,3,3,0.3,1
uct,250,2,7,-37.40000000000002,50,8,336,3,3,0.3,1
uct,250,2,8,-30.800000000000008,50,8,345,3,3,0.3,1
uct,250,2,9,-34.10000000000001,50,8,309,3,3,0.3,1
uct,250,2,10,-32.20000000000001,50,7,299,3,3,0.3,1
uct,250,2,1,-51.50000000000002,50,2,83,4,1,0.3,1
uct,250,2,2,-45.80000000000002,50,2,83,4,1,0.3,1
uct,250,2,3,-56.60000000000002,50,3,83,4,1,0.3,1
uct,250,2,4,-60.40000000000003,50,2,95,4,1,0.3,1
uct,250,2,5,-60.300000000000026,50,3,99,4,1,0.3,1
uct,250,2,6,-47.300000000000026,50,3,87,4,1,0.3,1
uct,250,2,7,-49.30000000000002,50,2,85,4,1,0.3,1
uct,250,2,8,-52.100000000000016,50,2,82,4,1,0.3,1
uct,250,2,9,-51.40000000000003,50,2,83,4,1,0.3,1
uct,250,2,10,-60.40000000000003,50,2,73,4,1,0.3,1
uct,250,2,1,-40.90000000000002,50,4,178,4,2,0.3,1
uct,250,2,2,-37.70000000000001,50,3,147,4,2,0.3,1
uct,250,2,3,-47.50000000000003,50,3,137,4,2,0.3,1
uct,250,2,4,-37.10000000000003,50,3,159,4,2,0.3,1
uct,250,2,5,-32.90000000000001,50,4,140,4,2,0.3,1
uct,250,2,6,-33.100000000000016,50,5,168,4,2,0.3,1
uct,250,2,7,-42.40000000000002,50,6,187,4,2,0.3,1
uct,250,2,8,-40.90000000000003,50,4,141,4,2,0.3,1
uct,250,2,9,-43.000000000000014,50,5,166,4,2,0.3,1
uct,250,2,10,-46.90000000000003,50,4,170,4,2,0.3,1
uct,250,2,1,-42.60000000000002,50,14,637,4,3,0.3,1
uct,250,2,2,-42.60000000000002,50,15,684,4,3,0.3,1
uct,250,2,3,-47.700000000000024,50,14,706,4,3,0.3,1
uct,250,2,4,-56.00000000000003,50,17,678,4,3,0.3,1
uct,250,2,5,-34.100000000000016,50,11,667,4,3,0.3,1
uct,250,2,6,-41.30000000000001,50,14,670,4,3,0.3,1
uct,250,2,7,-48.20000000000002,50,13,643,4,3,0.3,1
uct,250,2,8,-41.60000000000002,50,14,652,4,3,0.3,1
uct,250,2,9,-43.50000000000002,50,13,648,4,3,0.3,1
uct,250,2,10,-43.500000000000014,50,13,655,4,3,0.3,1
uct,250,2,1,-32.400000000000006,50,99,4145,4,4,0.3,1
uct,250,2,2,-33.70000000000001,50,114,4184,4,4,0.3,1
uct,250,2,3,-30.199999999999992,50,118,4284,4,4,0.3,1
uct,250,2,4,-25.700000000000014,50,94,4567,4,4,0.3,1
uct,250,2,5,-28.300000000000004,50,103,4091,4,4,0.3,1
uct,250,2,6,-25.200000000000014,50,112,3942,4,4,0.3,1
uct,250,2,7,-35.500000000000014,50,104,4733,4,4,0.3,1
uct,250,2,8,-39.80000000000002,50,93,4625,4,4,0.3,1
uct,250,2,9,-29.100000000000012,50,95,4285,4,4,0.3,1
uct,250,2,10,-35.90000000000001,50,89,4442,4,4,0.3,1
uct,450,2,1,-8.0,50,3,66,1,1,0.3,1
uct,450,2,2,-8.0,50,2,67,1,1,0.3,1
uct,450,2,3,-8.0,50,3,68,1,1,0.3,1
